Marca,Linha,Modelo,Cor,Memória interna,Memória RAM,Modelo do processador,Tamanho da tela,Resolução da câmera traseira principal,Resolução da câmera frontal principal,Rede móvel,Ano de lançamento,url_produto
Samsung,Galaxy,Galaxy A17,Light blue,128 GB,4 GB,Helio G99 (MT6789V/CD) 6nm,"6,7 """,50 Mpx,13 Mpx,4G/LTE,2025,https://www.mercadolivre.com.br/celular-samsung-galaxy-a17-com-ia-128gb-4gb-ram-cam-de-50mp-tela-de-67-nfc-ip54-azul/p/MLB54986607?pdp_filters=deal%3AMLB1536253-2#polycard_client=splinter&c_element_order=7&deal_print_id=66f203c0-a47d-11f1-b481-7d7d89bacf6e&L=grandes-ofertas&type=product&c_tracking_id=66f203c0-a47d-11f1-b481-7d7d89bacf6e&c_uid=4649323b-df7e-39d6-bfa2-a0b6b8885ea1&V=7&c_campaign=grandes-ofertas&c_id=%2Fsplinter%2Fcarouseldynamicitem&position=7&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_container_id=MLB1536253-1&c_global_position=7&c_element_id=4649323b-df7e-39d6-bfa2-a0b6b8885ea1&wid=MLB4217282117&sid=splinter
Samsung,Galaxy A07,A07,Verde,128 GB,4 GB,MediaTek Helio G99 (6nm),"6,7 """,50 Mpx,8 Mpx,4G/LTE,2025,https://www.mercadolivre.com.br/samsung-galaxy-a07/p/MLB55027908?pdp_filters=deal%3AMLB1536253-2#polycard_client=splinter&c_element_order=13&deal_print_id=66f203c0-a47d-11f1-b481-7d7d89bacf6e&L=grandes-ofertas&type=product&c_tracking_id=66f203c0-a47d-11f1-b481-7d7d89bacf6e&c_uid=344a1ecf-c02d-33a9-84a0-d6e9b325d8cb&V=13&c_campaign=grandes-ofertas&c_id=%2Fsplinter%2Fcarouseldynamicitem&position=13&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_container_id=MLB1536253-1&c_global_position=7&c_element_id=344a1ecf-c02d-33a9-84a0-d6e9b325d8cb&wid=MLB4276106547&sid=splinter
Motorola,Edge,Edge 60 PRO,Cinza,512 GB,12 GB,Mediatek Dimensity 8350,"6,7 """,50 Mpx,50 Mpx,5G,N/A,https://www.mercadolivre.com.br/smartphone-motorola-edge-60-pro-5g-512gb-12gb-ram12gb-ram-boost-tela-quad-curve-moto-ai-50mp-sony-camera-ultrarresistencia-militar-ip68-ip69-cinza/p/MLB48998798?pdp_filters=deal%3AMLB1536253-2#polycard_client=splinter&c_element_order=16&deal_print_id=66f203c0-a47d-11f1-b481-7d7d89bacf6e&L=grandes-ofertas&type=product&c_tracking_id=66f203c0-a47d-11f1-b481-7d7d89bacf6e&c_uid=4ed1968d-1f57-3578-a385-6ebd16bb4c30&V=16&c_campaign=grandes-ofertas&c_id=%2Fsplinter%2Fcarouseldynamicitem&position=16&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_container_id=MLB1536253-1&c_global_position=7&c_element_id=4ed1968d-1f57-3578-a385-6ebd16bb4c30&wid=MLB5389690592&sid=splinter
Motorola,Edge,Edge 70 5G,Bronze Green,512 GB,12 GB,Snapdragon® 7 Gen 4,"6,7 """,50 Mpx,50 Mpx,5G,N/A,https://www.mercadolivre.com.br/smartphone-motorola-edge-70-5g-512gb-24gb-12gb-ram12gb-ram-boost-ultrafino-3-cameras-50mp-tela-15k-extreme-amoled-120hz-bronze-green/p/MLB65919768?pdp_filters=deal%3AMLB1536253-2#polycard_client=splinter&c_element_order=11&deal_print_id=66f203c0-a47d-11f1-b481-7d7d89bacf6e&L=grandes-ofertas&type=product&c_tracking_id=66f203c0-a47d-11f1-b481-7d7d89bacf6e&c_uid=7cb73a93-af49-3d50-90fb-a41fa0cae16e&V=11&c_campaign=grandes-ofertas&c_id=%2Fsplinter%2Fcarouseldynamicitem&position=11&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_container_id=MLB1536253-1&c_global_position=7&c_element_id=7cb73a93-af49-3d50-90fb-a41fa0cae16e&wid=MLB6372108750&sid=splinter
Motorola,Moto G,Moto G17,Azul,256 GB,4 GB,MediaTek Helio G81 Extreme,"6,7 """,50 Mpx,50 Mpx,4G/LTE,2026,https://www.mercadolivre.com.br/smartphone-motorola-moto-g17-4g-256gb-12gb-4gb-ram-8gb-ram-boost-camera-50mp-sony-lytia-600-tela-fhd-60hz-bateria-5200-mah-azul/p/MLB65041663?pdp_filters=deal%3AMLB1536253-2#polycard_client=splinter&c_element_order=8&deal_print_id=66f203c0-a47d-11f1-b481-7d7d89bacf6e&L=grandes-ofertas&type=product&c_tracking_id=66f203c0-a47d-11f1-b481-7d7d89bacf6e&c_uid=8bec5446-dc04-3a6b-87b6-6ddbaf842bbc&V=8&c_campaign=grandes-ofertas&c_id=%2Fsplinter%2Fcarouseldynamicitem&position=8&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_container_id=MLB1536253-1&c_global_position=7&c_element_id=8bec5446-dc04-3a6b-87b6-6ddbaf842bbc&wid=MLB6420523862&sid=splinter
Motorola,Moto G,Moto G35 5G,Coral,256 GB,4 GB,Unisoc T760,"6,7 """,50 Mpx,16 Mpx,5G,N/A,https://www.mercadolivre.com.br/smartphone-motorola-moto-g35-5g-256gb-4gb-ram8gb-ram-boost-e-camera-50mp-com-ai-nfc-tela-67-com-superbrilho-coral-vegan-leather/p/MLB41540860?pdp_filters=deal%3AMLB1536253-2#polycard_client=splinter&c_element_order=4&deal_print_id=66f203c0-a47d-11f1-b481-7d7d89bacf6e&L=grandes-ofertas&type=product&c_tracking_id=66f203c0-a47d-11f1-b481-7d7d89bacf6e&c_uid=5ef90f13-dce0-3dfd-9707-053a95dc6e2b&V=4&c_campaign=grandes-ofertas&c_id=%2Fsplinter%2Fcarouseldynamicitem&position=4&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_container_id=MLB1536253-1&c_global_position=7&c_element_id=5ef90f13-dce0-3dfd-9707-053a95dc6e2b&wid=MLB3904300435&sid=splinter
Samsung,Galaxy S,Galaxy S25 FE,JetBlack,128 GB,8 GB,Exynos 2400,"6,7 """,50 Mpx,12 Mpx,5G,2025,https://www.mercadolivre.com.br/celular-samsung-galaxy-s25-fe-5g-128gb-8gb-ram-camera-tripla-de-50128-tela-grande-de-67-jetblack/p/MLB61692896?pdp_filters=deal%3AMLB1536253-2#polycard_client=splinter&c_element_order=17&deal_print_id=66f203c0-a47d-11f1-b481-7d7d89bacf6e&L=grandes-ofertas&type=product&c_tracking_id=66f203c0-a47d-11f1-b481-7d7d89bacf6e&c_uid=a35672e6-dffd-3a17-b174-757c3f128cb9&V=17&c_campaign=grandes-ofertas&c_id=%2Fsplinter%2Fcarouseldynamicitem&position=17&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_container_id=MLB1536253-1&c_global_position=7&c_element_id=a35672e6-dffd-3a17-b174-757c3f128cb9&wid=MLB6087231690&sid=splinter
Motorola,Moto G,G86,Vermelho,256 GB,8 GB,Dimensity 7300,"6,7 """,50 Mpx,32 Mpx,4G/5G,N/A,https://www.mercadolivre.com.br/smartphone-motorola-moto-g86-5g-256gb-24gb-8gb-ram16gb-ram-boost-tela-15k-poled-50mp-sony-camera-ois-moto-ai-videos-em-4k-ip68-ip69-vermelho/p/MLB51340616?pdp_filters=deal%3AMLB1536253-2#polycard_client=splinter&c_element_order=9&deal_print_id=66f203c0-a47d-11f1-b481-7d7d89bacf6e&L=grandes-ofertas&type=product&c_tracking_id=66f203c0-a47d-11f1-b481-7d7d89bacf6e&c_uid=4c3ca21d-7fc6-3c8d-a502-901bdf97bcf8&V=9&c_campaign=grandes-ofertas&c_id=%2Fsplinter%2Fcarouseldynamicitem&position=9&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_container_id=MLB1536253-1&c_global_position=7&c_element_id=4c3ca21d-7fc6-3c8d-a502-901bdf97bcf8&wid=MLB5462013472&sid=splinter
Motorola,Moto G,Moto G17,Azul,128 GB,4 GB,MediaTek Helio G81 Extreme,"6,7 """,50 Mpx,50 Mpx,4G/LTE,2026,https://www.mercadolivre.com.br/smartphone-motorola-moto-g17-4g-128gb-12gb-4gb-ram-8gb-ram-boost-camera-50mp-sony-lytia-600-tela-fhd-60hz-bateria-5200-mah-azul/p/MLB65041642?pdp_filters=deal%3AMLB1536253-2#polycard_client=splinter&c_element_order=10&deal_print_id=66f203c0-a47d-11f1-b481-7d7d89bacf6e&L=grandes-ofertas&type=product&c_tracking_id=66f203c0-a47d-11f1-b481-7d7d89bacf6e&c_uid=2b71723e-58d1-3795-8bea-6bf8495569a0&V=10&c_campaign=grandes-ofertas&c_id=%2Fsplinter%2Fcarouseldynamicitem&position=10&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_container_id=MLB1536253-1&c_global_position=7&c_element_id=2b71723e-58d1-3795-8bea-6bf8495569a0&wid=MLB6420215012&sid=splinter
Motorola,Edge,Edge 70 Fusion FIFA WC EDITION,Azul-marinho,256 GB,8 GB,Snapdragon 7s Gen 3,"6,8 """,50 Mpx,32 Mpx,5G,N/A,https://www.mercadolivre.com.br/smartphone-motorola-edge-70-fusion-5g-fifa-world-cup-collection-256gb-24gb-8gb-ram-16gb-ram-boost-camera-50mp-sony-lytia-710-tela-15k-extreme-amoled-grafite/p/MLB67444410?pdp_filters=deal%3AMLB1536253-2#polycard_client=splinter&c_element_order=2&deal_print_id=66f203c0-a47d-11f1-b481-7d7d89bacf6e&L=grandes-ofertas&type=product&c_tracking_id=66f203c0-a47d-11f1-b481-7d7d89bacf6e&c_uid=bf55b0c4-d33a-3162-8df7-07fdbd02680d&V=2&c_campaign=grandes-ofertas&c_id=%2Fsplinter%2Fcarouseldynamicitem&position=2&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_container_id=MLB1536253-1&c_global_position=7&c_element_id=bf55b0c4-d33a-3162-8df7-07fdbd02680d&wid=MLB6676374114&sid=splinter
