fonte;categoria;Loja;titulo;preco;url_produto
mercadolivre;Celulares e Telefones;Apple;Apple iPhone 15 (128 GB) - Azul - Distribuidor Autorizado;4.299;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=b7BWk9V46jP9CDPB%2FaXkXYF1ni4zwT2G%2FdBlATdGUUmYMM7viXlXggG39dwRQ9l1PHgo6g44EpG7MCNOhUy7R4FqhpnE6ovMF8xfj4xlEDMkP37tN8eYf1jUIrEDAG9A9j23r7Lp%2BacXcS3UbrSOhsqtpaTlzt8xMsJG0tsHyEsjLEBH6mcjiTHlZu2QYjwA%2F8hxw24zU6StpGddE3kMZY%2BFwNoLSx4Ik5tXigYsTd3WvcoZEO4DH3jMqYVCH4Hseq4i2PRiNHmEuyMuqBbLl75shvQel9PbAQ0uWEo%2BmbnXBYwdanjoHQuoRfTC6gU%2FQ2ERkMol67m0iKbbWNfPIHzn05qIOC5jFcREppNeDXryicDZFjdQstNCfAPAcXrCAhfGvRxq9wIU9pwqr9cuHSDh0WGS5BL93AQZCHm52T%2Fz79nedckxprkFQMLTqsLbTgietCp4WFzM2UfuQ%2F%2BMitDF%2BqH9P8WMMuChx69asKmRccHBFOtzjLKzCt4W95PEDcNlzcfPbiPkLZ5uEOZm1NWfzQF56xZ%2BLDbBcKnmQmrLgx%2F2TxF0X8Qgtb5ZUjGbHmUTSPOpgVwkYMhpMz6Z7tuuYoUVLflANQ5aquzVM9Dtama63yOuuYB7LTQqxnBkyekWQGTjDEmAp%2BnjMw1Ks71vHaTbQ84OMz5WwJLoC6aIjSbGTuz0EXeL4fnSmvbOrkCMtLtfcvouzCB4%2BoSVN3WOBh15Ht8hDDwAEpgtyVEYZhftvz5sTdWSWZFP8qWRpusk4NCwCd0CDaLYc6GdjlF9FpiW5GERARlP1jEPevozMvktZ%2BaS6cZi963BlV8hdPP1%2FkhZru55Hurz1li4m6BK7R7%2Fj2C7%2F%2B5EdBbZYfjb6gBrReoU9FBMHhCzjr%2BDLOtNS20RhHTJ1%2Ft5c81UURTvxMT4yFcwuGuToO6DyRdumx%2FOI2XjAmq%2FS1JaST7Lzo7d2iWhg%2Bbt8yAsqcast%2BwI&pdp_filters=item_id%3AMLB4408547152#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB1027172667&backend_model=search-backend&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=1&type=pad&tracking_id=c8970a79-f1f4-4328-abba-cd2922ab7d96&wid=MLB4408547152&sid=search
mercadolivre;Celulares e Telefones;Apple;iPhone 17 256 GB - Branco - Distribuidor Autorizado;5.309;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=Rj91q5%2BpbaeXEajwDD9wjjnC32pSpeP1jnBQhYRvlZmLRG9GKcciIatDucboRUBqZOibJYx0u9Lsv8y8DVQJ0Q5Wm0PQAe2A3rzH1WoAfdPeZ%2F366F6Ha1VOtJngpbTouNZQtaPnwdCVFip%2FWXcWPdycdMavCtQbakXQdmuWYdTDdZJMfl378jxntVVlTHOf2dcjp%2FGda4wlb5baZKcsAeMI5jegZHOwDEwR5uZpqTCF2PYecGvguZwVoLo2PNbvLWy8GpLB5iVE0QjGm5WFrryE%2BihgGa%2BhyduvWsKMvsm2kQLKlNpR8R0abO1M0U6s9Ub1dwcb0I%2F%2FUeUQXJygAZVX2cXV41XyHLUaCNuiQPCtEhHmK2F8yOkfR3lv0EQhUkhpIA%2FoTFKnYZPdILzqpTKFNpWGA891XCZKWOP3S4IUBm6Jqn%2BF4wIrSyRp8ehE0R2dH9KJxAbu2eirLv19cK1FPPCAK33vzgXp4NDtWtYf7iyhbysbNZcv%2F19XIh1yvbWRXm3Vd8ohXDuSXZqFfvc2XfIEbnFFhSb4E7BZHpHW6GyfXkREwUg3w9dS8axeWgyI27w0FW82OmTTbRqwg7c1STVvypaSxYsCFmtlqYx29fTJzK0oeXmC3eVhsxkFA8w0Vs1bnM3bVqho80Z%2BvKpem5DJFJLBtJ0w7kZ3Qt5%2FGcL1ePAKj%2BEtdEYz8bDaX5TinNk3YWUGM6uBlqmz3lIFDpXJcjObDrrEH6CqZFS%2F1McW0yuW3hzGPWf20BRn39rqDbqGOcpkPrx%2B%2FBXSkoVcoqlweFl8fd6ZpmJzXGZRoKteE4wP3JqkouN6mMCBvuInv6n0Q6Nj5hURgh06E872Ri6wr5riODIAW335Va1zdiFGotTWHCEE2kxe0EwAkZm%2F64KDhJnOSZSb0%2F8vpA69Vkmtaf0wZ95I9Z1DKizdLgqsnl41lq8zif0vOPlUpU5XgLeyfGQvhe%2BqDLQ%3D&pdp_filters=item_id%3AMLB6545212036#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB1055309009&backend_model=search-backend&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=2&type=pad&tracking_id=c8970a79-f1f4-4328-abba-cd2922ab7d96&wid=MLB6545212036&sid=search
mercadolivre;Celulares e Telefones;Apple;Apple iPhone 16 (128 GB) - Ultramarine - Distribuidor Autorizado;4.599;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=PnHKzus1E9ZYnVyu13VS1ZN2SOzuQHr1WmqAURP6uBd%2F2d0wOGK5HuYHZGSfp1VtyOwa42X9DwUaaYxKUDtLw7KxIv16ZbzOwYVQZtkuZv1yOCaIei%2BZiXm6xwgNJiQJr%2BxX7tHqIgL%2BvGfbuVoIxcjr1KHavsdCX2C35wrU3XdvhFswmVKiNQzyGmbQDADX9ll6dRrehnh8VmedWlnyaAiM2mSP6OynwbShUSJ2Zc7dhy5EkzxKpdpapI72dVIfoFIDU2wiULs434FS3H5ms5Z%2FTG8BS8gclZOnOKKiTsPknljKUX1%2Bcp0SavWbBykyqPb1lhnBvlLmTL5j9TbKvuHMroR8bBJBKQmye%2FSpYUtJ9JTJST3PbcC9gBicnZWhU%2BsWHFhBB%2BBA2vljY38GC%2BhiLe3j4YdLuNozwXhZHRS%2FxjDdTyblpgbnCFU%2Bgsgmlpr%2B9ZwoNiDoYPBdxewZf4hkcxf1ZoAOqZUlPew%2FhAKx8fGkzaU%2F2BDZOk%2B%2Fbr%2B6ODEumPMghMAJRh9qXWULdEY7mLG4yLu9CKJfFPD7rjmkjeKe8wZJepgzmCjWMQXr4%2FLjuQXTE4dsuQMTyVTZrmGnHGLWjuyLct3E6rxM1f%2FGaiQLq5KSEdexxco7P1K2Q8gyZnkynNnv9uBfILjUIwKLN5GLmPcw99VHTGlYvmJ2YUvQ890sALwA6DrwbdgTFzwsyCt4gefono9pC8OdtlXO4ZS358Ch1sIilPK1gOalZhn%2F%2F5jifeVzc0H9j%2B6Peij3hUPN%2Bx7jfdQIYeJFvKv5RBpHx7oPnZ1H5fmmeNfPs8mPsEu%2FOTpkR5WgTFnbLKRbH32yVJ%2B%2FaquH2%2BAE3QjJKEXHF4o3CtPJ3UBUVk1n7mQMC67jmpfOKl%2B3T12OAfTScLKi8uXS%2BIURGLIuejKBYW3qxODYDIvHsy7IXA7%2BXcgKwPgwpTvgtUMm85KMITHiYCcz1AhHUhz%2FIOBLtMzKyrPFyyHMXw%3D%3D&pdp_filters=item_id%3AMLB5120559422#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB1040287800&backend_model=search-backend&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=3&type=pad&tracking_id=c8970a79-f1f4-4328-abba-cd2922ab7d96&wid=MLB5120559422&sid=search
mercadolivre;Celulares e Telefones;Apple;iPhone 16e (128 GB) - Branco - Distribuidor Autorizado;3.599;https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=hOJ5zZ9TgFehWkh%2BWuOYEuFYkt0SADjLpgTXFccVgluFKZQ5CVw8cO6P6LB8fgj5T%2BHRB4g4y3Gn9n1%2B96lmzWJlIxavRI3cY1QEFwXHFSc6VBMiCzRWJi4b1qkEl0HkhaIpIU1k8HdggMhPTMJ%2FDtbuxYk2Rqkh5r0f5BiopBPK0Jbu%2BXWvYAPTKAChzlgAD96Q4wKmGM273HLGehcuJVgeLHELUo0VqDfkONBAlfJRu925568BYIl3BVM%2BmZH0myDCw1zoeFu5CDazD7KgsIVB42RLEZ20gKZH%2Fs8JtRHsVMTnQohWcKI9HMXrFSJZBoRMQ6bpGnnFFbcg7ba5Uu98laE9Gjlzs5qHgeiB2KfozVC1s7gf7ni97T%2BkY1E0Uf9tsRbn2nZF21cSlFEI4miHxa%2FiZNxj0WHQEEqDk7gyhNb3CvMjt4YeVwwAGYyfU%2BSpDSkWXnN9s6Qx7sDNjDabBpr%2FmqQcx2ztLUswc9TtgOAFCCErdqqHomiYJKaWWWp2JPozRjl6V0KyVHaoHyM%2B28RPQUL%2FKtYlc6N9iBMtkzS6%2Fbi%2BcRMmsEIFjK9hkv4o7zvtya%2F2p0TZze0BWfgq3qFzlrwdiFcdw5rS%2Fz%2FWGRoETwRXcT9PubxoPXp98WCTOOrAJatEUzIU5LCN%2B%2FDFnexhndfxkcOW5x%2Fpyp2NPeV%2B9PN0rClOwp4w4a%2Ft2%2F3ucNXd%2F3yT1tv0AgUtQvCxSIdbvGj%2FhbRhXYq8RvakCaBdD3L%2FyhqOuTt%2BAQCJhiMxJAK%2Fpuo4Hgf7z1aKAYQdx8pq722MFIohfQInYN%2FItsNkqpqgwl0LCr4iWdbUVhKNBRlJH2LlM6yh4rCyd%2Bxmwp98HjCqUfxfHGQ43BRwSkULnte3K%2BqiirLsTAUrsYIx%2BOLH%2BwaB%2FiAcQfpyW5BSpt8qFkDSZqPtn36hKqYjTrYnE3moUv7jzVyVHh4pHw191LgzHbjToWbP2c4%3D&pdp_filters=item_id%3AMLB5299082738#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB1046217031&backend_model=search-backend&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=4&type=pad&tracking_id=c8970a79-f1f4-4328-abba-cd2922ab7d96&wid=MLB5299082738&sid=search
mercadolivre;Celulares e Telefones;Apple;iPhone 17 256 GB - Branco - Distribuidor Autorizado;5.309;https://www.mercadolivre.com.br/iphone-17-256gb-branco-distribuidor-autorizado/p/MLB1055309009#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=5&type=product&tracking_id=c8970a79-f1f4-4328-abba-cd2922ab7d96&wid=MLB6545212036&sid=search
mercadolivre;Celulares e Telefones;Apple;iPhone 16e (128 GB) - Preto - Distribuidor Autorizado;3.599;https://www.mercadolivre.com.br/iphone-16e-128-gb-preto-distribuidor-autorizado/p/MLB1046215784#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=6&type=product&tracking_id=c8970a79-f1f4-4328-abba-cd2922ab7d96&wid=MLB3986439067&sid=search
mercadolivre;Celulares e Telefones;Apple;Apple iPhone 16 (128 GB) - Ultramarine - Distribuidor Autorizado;4.599;https://www.mercadolivre.com.br/apple-iphone-16-128-gb-ultramarine-distribuidor-autorizado/p/MLB1040287800#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=7&type=product&tracking_id=c8970a79-f1f4-4328-abba-cd2922ab7d96&wid=MLB5120559422&sid=search
mercadolivre;Celulares e Telefones;Apple;iPhone 17e 256GB Rosa-palido - Distribuidor Autorizado;4.229;https://www.mercadolivre.com.br/iphone-17e-256gb-rosa-palido-distribuidor-autorizado/p/MLB1066130043#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=8&type=product&tracking_id=c8970a79-f1f4-4328-abba-cd2922ab7d96&wid=MLB6844711882&sid=search
mercadolivre;Celulares e Telefones;Apple;Apple iPhone 15 (128 GB) - Azul - Distribuidor Autorizado;4.299;https://www.mercadolivre.com.br/apple-iphone-15-128-gb-azul-distribuidor-autorizado/p/MLB1027172667#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=9&type=product&tracking_id=c8970a79-f1f4-4328-abba-cd2922ab7d96&wid=MLB4408547152&sid=search
mercadolivre;Celulares e Telefones;Apple;Apple iPhone 15 (256 GB) - Azul - Distribuidor Autorizado;4.589;https://www.mercadolivre.com.br/apple-iphone-15-256-gb-azul-distribuidor-autorizado/p/MLB1027172673#polycard_client=search-desktop&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=10&type=product&tracking_id=c8970a79-f1f4-4328-abba-cd2922ab7d96&wid=MLB4509857198&sid=search
